index,First Author,Title,Year,Citations
1678,"Healey, Andy","Designing high-quality implementation research: development,
   application, feasibility and preliminary evaluation of the
   implementation science research development (ImpRes) tool and guide",2019,50
1944,"Bakolis, Ioannis","Designing high-quality implementation research: development,
   application, feasibility and preliminary evaluation of the
   implementation science research development (ImpRes) tool and guide",2019,50
2026,"Stanley, Melinda A.","Brief cognitive behavioral therapy in primary care: a hybrid type 2
   patient-randomized effectiveness-implementation design",2012,50
2226,"Sorocco, Kristen H.","Brief cognitive behavioral therapy in primary care: a hybrid type 2
   patient-randomized effectiveness-implementation design",2012,50
2378,"Kunik, Mark E.","Brief cognitive behavioral therapy in primary care: a hybrid type 2
   patient-randomized effectiveness-implementation design",2012,50
2607,"Kauth,   Michael R.","Brief cognitive behavioral therapy in primary care: a hybrid type 2
   patient-randomized effectiveness-implementation design",2012,50
137,"Hagger, Martin S.","Known knowns and known unknowns on behavior change interventions and
   mechanisms of action{*",2020,49
550,"Moyers, Susette","Known knowns and known unknowns on behavior change interventions and
   mechanisms of action{*",2020,49
773,"Dickinson, Perry","Use of RE-AIM to develop a multi-media facilitation tool for the
   patient-centered medical home",2011,49
953,"McAnally, Kaylyn","Known knowns and known unknowns on behavior change interventions and
   mechanisms of action{*",2020,49
1161,"Fisher, Lawrence","Use of RE-AIM to develop a multi-media facilitation tool for the
   patient-centered medical home",2011,49
1319,"McKinley,   Lauren E.","Known knowns and known unknowns on behavior change interventions and
   mechanisms of action{*",2020,49
1499,"Christiansen, Steve","Use of RE-AIM to develop a multi-media facilitation tool for the
   patient-centered medical home",2011,49
1795,"Toobert, Deborah J.","Use of RE-AIM to develop a multi-media facilitation tool for the
   patient-centered medical home",2011,49
2034,"Bender, Bruce G.","Use of RE-AIM to develop a multi-media facilitation tool for the
   patient-centered medical home",2011,49
2232,"Dickinson, L. Miriam","Use of RE-AIM to develop a multi-media facilitation tool for the
   patient-centered medical home",2011,49
2383,"Jortberg, Bonnie","Use of RE-AIM to develop a multi-media facilitation tool for the
   patient-centered medical home",2011,49
185,"Chin, Brian","Psychological Mechanisms Driving Stress Resilience in Mindfulness
   Training: A Randomized Controlled Trial",2019,47
202,"Byrne, Molly","Increasing the Impact of Behavior Change Intervention Research: Is There
   a Role for Stakeholder Engagement?",2019,47
275,"Lau, Anna S.","The 4KEEPS study: identifying predictors of sustainment of multiple
   practices fiscally mandated in children's mental health services",2016,47
313,"Johnson, Sara S.","Coaction in Multiple Behavior Change Interventions: Consistency Across
   Multiple Studies on Weight Management and Obesity Prevention",2014,47
341,"Evans, Bridie Angela","How hard can it be to include research evidence and evaluation in local
   health policy implementation? Results from a mixed methods study",2013,47
397,"Norman, Cameron D.","Using the Internet to Assist Smoking Prevention and Cessation in
   Schools: A Randomized, Controlled Trial",2008,47
598,"Lindsay, Emily K.","Psychological Mechanisms Driving Stress Resilience in Mindfulness
   Training: A Randomized Controlled Trial",2019,47
686,"Brookman-Frazee, Lauren","The 4KEEPS study: identifying predictors of sustainment of multiple
   practices fiscally mandated in children's mental health services",2016,47
724,"Paiva, Andrea L.","Coaction in Multiple Behavior Change Interventions: Consistency Across
   Multiple Studies on Weight Management and Obesity Prevention",2014,47
752,"Snooks, Helen","How hard can it be to include research evidence and evaluation in local
   health policy implementation? Results from a mixed methods study",2013,47
807,"Maley, Oonagh","Using the Internet to Assist Smoking Prevention and Cessation in
   Schools: A Randomized, Controlled Trial",2008,47
999,"Greco, Carol M.","Psychological Mechanisms Driving Stress Resilience in Mindfulness
   Training: A Randomized Controlled Trial",2019,47
1119,"Mauriello, Leanne","Coaction in Multiple Behavior Change Interventions: Consistency Across
   Multiple Studies on Weight Management and Obesity Prevention",2014,47
1142,"Howson, Helen","How hard can it be to include research evidence and evaluation in local
   health policy implementation? Results from a mixed methods study",2013,47
1180,"Blakeman, Thomas","Delivering the WISE (Whole Systems Informing Self-Management Engagement)
   training package in primary care: learning from formative evaluation",2010,47
1190,"Li, Xiaoqiang","Using the Internet to Assist Smoking Prevention and Cessation in
   Schools: A Randomized, Controlled Trial",2008,47
1361,"Brown, Kirk   Warren","Psychological Mechanisms Driving Stress Resilience in Mindfulness
   Training: A Randomized Controlled Trial",2019,47
1452,"Schwarzer, Ralf","Comparing a motivational and a self-regulatory intervention to adopt an
   oral self-care regimen: A two-sequential randomized crossover trial",2015,47
1464,"Prochaska, James O.","Coaction in Multiple Behavior Change Interventions: Consistency Across
   Multiple Studies on Weight Management and Obesity Prevention",2014,47
1483,"Davies,   Myfanwy","How hard can it be to include research evidence and evaluation in local
   health policy implementation? Results from a mixed methods study",2013,47
1515,"Bowen,   Andrew","Delivering the WISE (Whole Systems Informing Self-Management Engagement)
   training package in primary care: learning from formative evaluation",2010,47
1524,"Skinner,   Harvey A.","Using the Internet to Assist Smoking Prevention and Cessation in
   Schools: A Randomized, Controlled Trial",2008,47
1679,"Smyth, Joshua M.","Psychological Mechanisms Driving Stress Resilience in Mindfulness
   Training: A Randomized Controlled Trial",2019,47
1765,"Redding, Colleen","Coaction in Multiple Behavior Change Interventions: Consistency Across
   Multiple Studies on Weight Management and Obesity Prevention",2014,47
1809,"Gardner, Caroline","Delivering the WISE (Whole Systems Informing Self-Management Engagement)
   training package in primary care: learning from formative evaluation",2010,47
1945,"Wright, Aidan G. C.","Psychological Mechanisms Driving Stress Resilience in Mindfulness
   Training: A Randomized Controlled Trial",2019,47
2010,"Velicer, Wayne F.","Coaction in Multiple Behavior Change Interventions: Consistency Across
   Multiple Studies on Weight Management and Obesity Prevention",2014,47
2047,"Protheroe, Joanne","Delivering the WISE (Whole Systems Informing Self-Management Engagement)
   training package in primary care: learning from formative evaluation",2010,47
2161,"Creswell, J.   David","Psychological Mechanisms Driving Stress Resilience in Mindfulness
   Training: A Randomized Controlled Trial",2019,47
299,"Connell, Louise A.","Development of a behaviour change intervention to increase upper limb
   exercise in stroke rehabilitation",2015,46
710,"McMahon, Naoimh E.","Development of a behaviour change intervention to increase upper limb
   exercise in stroke rehabilitation",2015,46
808,"Cohen, Amy N.","EQUIP: Implementing chronic care principles and applying formative
   evaluation methods to improve care for schizophrenia: QUERI Series",2008,46
1106,"Redfern, Judith","Development of a behaviour change intervention to increase upper limb
   exercise in stroke rehabilitation",2015,46
1193,"Fanshawe, Tom","Investigating theoretical explanations for behaviour change: The case
   study of ProActive",2008,46
1455,"Watkins, Caroline L.","Development of a behaviour change intervention to increase upper limb
   exercise in stroke rehabilitation",2015,46
1527,"Prevost, A. Toby","Investigating theoretical explanations for behaviour change: The case
   study of ProActive",2008,46
1622,"Potthoff, Sebastian","Enhancing the translation of health behaviour change research into
   practice: a selective conceptual review of the synergy between
   implementation science and health psychology",2022,46
1758,"Eng, Janice J.","Development of a behaviour change intervention to increase upper limb
   exercise in stroke rehabilitation",2015,46
1817,"Taylor, Lyndsay","Investigating theoretical explanations for behaviour change: The case
   study of ProActive",2008,46
2052,"Kinmonth, Ann Louise","Investigating theoretical explanations for behaviour change: The case
   study of ProActive",2008,46
227,"Stahmer, Aubyn C.","Exploring multi-level system factors facilitating educator training and
   implementation of evidence-based practices (EBP): a study protocol",2018,45
311,"Schwebel, David C.","Teaching Children to Cross Streets Safely: A Randomized, Controlled
   Trial",2014,45
316,"Porcheret, Mark","Development of a behaviour change intervention: a case study on the
   practical application of theory",2014,45
722,"McClure, Leslie A.","Teaching Children to Cross Streets Safely: A Randomized, Controlled
   Trial",2014,45
727,"Main, Chris","Development of a behaviour change intervention: a case study on the
   practical application of theory",2014,45
1117,"Severson, Joan","Teaching Children to Cross Streets Safely: A Randomized, Controlled
   Trial",2014,45
1121,"Croft, Peter","Development of a behaviour change intervention: a case study on the
   practical application of theory",2014,45
1466,"McKinley, Robert","Development of a behaviour change intervention: a case study on the
   practical application of theory",2014,45
1767,"Hassell, Andrew","Development of a behaviour change intervention: a case study on the
   practical application of theory",2014,45
2012,"Dziedzic, Krysia","Development of a behaviour change intervention: a case study on the
   practical application of theory",2014,45
295,"Smelson, David A.","A cluster randomized Hybrid Type III trial testing an implementation
   support strategy to facilitate the use of an evidence-based practice in
   VA homeless programs",2015,44
213,"Proctor, Enola","Intermediary/purveyor organizations for evidence-based interventions in
   the US child mental health: characteristics and implementation
   strategies",2019,43
625,"Hooley, Cole","Intermediary/purveyor organizations for evidence-based interventions in
   the US child mental health: characteristics and implementation
   strategies",2019,43
1026,"Morse, Amber","Intermediary/purveyor organizations for evidence-based interventions in
   the US child mental health: characteristics and implementation
   strategies",2019,43
1385,"McCrary, Stacey","Intermediary/purveyor organizations for evidence-based interventions in
   the US child mental health: characteristics and implementation
   strategies",2019,43
1702,"Kim, Hyunil","Intermediary/purveyor organizations for evidence-based interventions in
   the US child mental health: characteristics and implementation
   strategies",2019,43
1782,"Segura, Lidia","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,43
1962,"Kohl, Patricia L.","Intermediary/purveyor organizations for evidence-based interventions in
   the US child mental health: characteristics and implementation
   strategies",2019,43
2024,"Colom, Joan","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,43
2225,"Reynolds, Jillian","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,43
2364,"Deluca, Paolo","Impact of primary healthcare providers' initial role security and
   therapeutic commitment on implementing brief interventions in managing
   risky alcohol consumption: a cluster randomised factorial trial",2016,43
2377,"Drummond, Colin","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,43
2596,"Kaner, Eileen","Impact of primary healthcare providers' initial role security and
   therapeutic commitment on implementing brief interventions in managing
   risky alcohol consumption: a cluster randomised factorial trial",2016,43
2671,"Kloda, Karolina","Impact of primary healthcare providers' initial role security and
   therapeutic commitment on implementing brief interventions in managing
   risky alcohol consumption: a cluster randomised factorial trial",2016,43
2678,"Mierzecki,   Artur","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,43
2772,"Newbury-Birch, Dorothy","Impact of primary healthcare providers' initial role security and
   therapeutic commitment on implementing brief interventions in managing
   risky alcohol consumption: a cluster randomised factorial trial",2016,43
59,"Brownson, Ross C.",Revisiting concepts of evidence in implementation science,2022,42
310,"Rimmer, James H.","GRAIDs: a framework for closing the gap in the availability of health
   promotion programs and interventions for people with disabilities",2014,42
721,"Vanderbom, Kerri A.","GRAIDs: a framework for closing the gap in the availability of health
   promotion programs and interventions for people with disabilities",2014,42
791,"Bower, Peter","What work has to be done to implement collaborative care for depression?
   Process evaluation of a trial utilizing the Normalization Process Model",2010,42
1116,"Bandini, Linda G.","GRAIDs: a framework for closing the gap in the availability of health
   promotion programs and interventions for people with disabilities",2014,42
1463,"Drum,   Charles E.","GRAIDs: a framework for closing the gap in the availability of health
   promotion programs and interventions for people with disabilities",2014,42
1514,"Escott, Diane","What work has to be done to implement collaborative care for depression?
   Process evaluation of a trial utilizing the Normalization Process Model",2010,42
1764,"Luken, Karen","GRAIDs: a framework for closing the gap in the availability of health
   promotion programs and interventions for people with disabilities",2014,42
1808,"Archer, Janine","What work has to be done to implement collaborative care for depression?
   Process evaluation of a trial utilizing the Normalization Process Model",2010,42
2009,"Suarez-Balcazar, Yolanda","GRAIDs: a framework for closing the gap in the availability of health
   promotion programs and interventions for people with disabilities",2014,42
2217,"Graham, Ian   D.","GRAIDs: a framework for closing the gap in the availability of health
   promotion programs and interventions for people with disabilities",2014,42
2242,"Lankshear, Annette J.","What work has to be done to implement collaborative care for depression?
   Process evaluation of a trial utilizing the Normalization Process Model",2010,42
2390,"Simpson,   Angela E.","What work has to be done to implement collaborative care for depression?
   Process evaluation of a trial utilizing the Normalization Process Model",2010,42
2516,"Richards, David A.","What work has to be done to implement collaborative care for depression?
   Process evaluation of a trial utilizing the Normalization Process Model",2010,42
250,"Lester, Soraya","What do we know about preventing school violence? A systematic review of
   systematic reviews",2017,41
336,"Hendriks, Anna-Marie","Proposing a conceptual framework for integrated local public health
   policy, applied to childhood obesity - the behavior change ball",2013,41
398,"Brown, Alison H.","EQUIP: Implementing chronic care principles and applying formative
   evaluation methods to improve care for schizophrenia: QUERI Series",2008,41
661,"Lawrence, Cayleigh","What do we know about preventing school violence? A systematic review of
   systematic reviews",2017,41
747,"Jansen, Maria W. J.","Proposing a conceptual framework for integrated local public health
   policy, applied to childhood obesity - the behavior change ball",2013,41
800,"McIntyre, Teresa","Development and exploratory cluster-randomised opportunistic trial of a
   theory-based intervention to enhance physical activity among adolescents",2009,41
1059,"Ward, Catherine L.","What do we know about preventing school violence? A systematic review of
   systematic reviews",2017,41
1138,"Gubbels, Jessica S.","Proposing a conceptual framework for integrated local public health
   policy, applied to childhood obesity - the behavior change ball",2013,41
1479,"De Vries, Nanne K.","Proposing a conceptual framework for integrated local public health
   policy, applied to childhood obesity - the behavior change ball",2013,41
1525,"Kessler,   Christopher","EQUIP: Implementing chronic care principles and applying formative
   evaluation methods to improve care for schizophrenia: QUERI Series",2008,41
1778,"Paulussen, Theo","Proposing a conceptual framework for integrated local public health
   policy, applied to childhood obesity - the behavior change ball",2013,41
1815,"Young, Alexander S.","EQUIP: Implementing chronic care principles and applying formative
   evaluation methods to improve care for schizophrenia: QUERI Series",2008,41
2020,"Kremers, Stef P. J.","Proposing a conceptual framework for integrated local public health
   policy, applied to childhood obesity - the behavior change ball",2013,41
271,"Shah, Krupa N.","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
543,"Chuang, Emmeline","Establishing cross-systems collaborations for implementation: protocol
   for a longitudinal mixed methods study",2020,40
682,"Majeed, Zahraa","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
688,"Vassilev, Ivaylo","Implementing a social network intervention designed to enhance and
   diversify support for people with long-term conditions. A qualitative
   study",2016,40
1079,"Yoruk, Yilmaz B.","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
1084,"James, Elizabeth","Implementing a social network intervention designed to enhance and
   diversify support for people with long-term conditions. A qualitative
   study",2016,40
1431,"Yang, Hongmei","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
1740,"Hilton, Tiffany N.","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
1992,"McMahon, James M.","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
2204,"Hall, William J.","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
2365,"Walck, Donna","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
2495,"Luque, Amneris E.","Enhancing Physical Function in HIV-Infected Older Adults: A Randomized
   Controlled Clinical Trial",2016,40
300,"Sinnema, Henny","Effectiveness of a tailored implementation programme to improve
   recognition, diagnosis and treatment of anxiety and depression in
   general practice: a cluster randomised controlled trial",2015,39
357,"Guillaumie, Laurence","The impact of self-efficacy and implementation intentions-based
   interventions on fruit and vegetable intake among adults",2012,39
720,"Laurant, Miranda G. H.","Implementing an outreaching, preference-led stepped care intervention
   programme to reduce late life depressive symptoms: results of a
   mixed-methods study",2014,39
768,"Godin, Gaston","The impact of self-efficacy and implementation intentions-based
   interventions on fruit and vegetable intake among adults",2012,39
1107,"Volker, Danielle","Effectiveness of a tailored implementation programme to improve
   recognition, diagnosis and treatment of anxiety and depression in
   general practice: a cluster randomised controlled trial",2015,39
1157,"Manderscheid, Jean-Claude","The impact of self-efficacy and implementation intentions-based
   interventions on fruit and vegetable intake among adults",2012,39
1495,"Spitz, Elisabeth","The impact of self-efficacy and implementation intentions-based
   interventions on fruit and vegetable intake among adults",2012,39
1759,"Terluin, Berend","Effectiveness of a tailored implementation programme to improve
   recognition, diagnosis and treatment of anxiety and depression in
   general practice: a cluster randomised controlled trial",2015,39
1791,"Muller, Laurent","The impact of self-efficacy and implementation intentions-based
   interventions on fruit and vegetable intake among adults",2012,39
2004,"Wensing, Michel","Effectiveness of a tailored implementation programme to improve
   recognition, diagnosis and treatment of anxiety and depression in
   general practice: a cluster randomised controlled trial",2015,39
258,"Mc Sharry, J.","Implementing international sexual counselling guidelines in hospital
   cardiac rehabilitation: development of the CHARMS intervention using the
   Behaviour Change Wheel",2016,38
401,"Ahluwalia, Jasjit S.","Pathways to health: Cluster-randomized trial to increase fruit and
   vegetable consumption among smokers in public housing",2007,38
669,"Murphy, P. J.","Implementing international sexual counselling guidelines in hospital
   cardiac rehabilitation: development of the CHARMS intervention using the
   Behaviour Change Wheel",2016,38
811,"Nollen, Nicole","Pathways to health: Cluster-randomized trial to increase fruit and
   vegetable consumption among smokers in public housing",2007,38
1066,"Byrne, M.","Implementing international sexual counselling guidelines in hospital
   cardiac rehabilitation: development of the CHARMS intervention using the
   Behaviour Change Wheel",2016,38
1194,"Kaur, Harsohena","Pathways to health: Cluster-randomized trial to increase fruit and
   vegetable consumption among smokers in public housing",2007,38
1528,"James,   Aimee S.","Pathways to health: Cluster-randomized trial to increase fruit and
   vegetable consumption among smokers in public housing",2007,38
1818,"Mayo, Matthew S.","Pathways to health: Cluster-randomized trial to increase fruit and
   vegetable consumption among smokers in public housing",2007,38
2053,"Resnicow, Ken","Pathways to health: Cluster-randomized trial to increase fruit and
   vegetable consumption among smokers in public housing",2007,38
287,"Houston, Thomas K.","Evaluating the QUIT-PRIMO clinical practice ePortal to increase smoker
   engagement with online cessation interventions: a national hybrid type 2
   implementation study",2015,37
326,"Hanbury, Andria","Immediate versus sustained effects: interrupted time series analysis of
   a tailored intervention",2013,37
698,"Sadasivam, Rajani S.","Evaluating the QUIT-PRIMO clinical practice ePortal to increase smoker
   engagement with online cessation interventions: a national hybrid type 2
   implementation study",2015,37
1094,"Allison, Jeroan J.","Evaluating the QUIT-PRIMO clinical practice ePortal to increase smoker
   engagement with online cessation interventions: a national hybrid type 2
   implementation study",2015,37
1444,"Ash, Arlene S.","Evaluating the QUIT-PRIMO clinical practice ePortal to increase smoker
   engagement with online cessation interventions: a national hybrid type 2
   implementation study",2015,37
1748,"Ray, Midge N.","Evaluating the QUIT-PRIMO clinical practice ePortal to increase smoker
   engagement with online cessation interventions: a national hybrid type 2
   implementation study",2015,37
1997,"English, Thomas M.","Evaluating the QUIT-PRIMO clinical practice ePortal to increase smoker
   engagement with online cessation interventions: a national hybrid type 2
   implementation study",2015,37
2207,"Hogan,   Timothy P.","Evaluating the QUIT-PRIMO clinical practice ePortal to increase smoker
   engagement with online cessation interventions: a national hybrid type 2
   implementation study",2015,37
2367,"Ford, Daniel E.","Evaluating the QUIT-PRIMO clinical practice ePortal to increase smoker
   engagement with online cessation interventions: a national hybrid type 2
   implementation study",2015,37
342,"Keurhorst, Myrna N.","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,35
356,"Curran, Geoffrey M.","Implementation of the CALM intervention for anxiety disorders: a
   qualitative study",2012,35
358,"Koring, Milena","A combined planning and self-efficacy intervention to promote physical
   activity: A multiple mediation analysis",2012,35
395,"Ussher, Jane Maria","Evaluating the efficacy of psycho-social interventions for informal
   carers of cancer patients: a systematic review of the research
   literature",2009,35
753,"Anderson, Peter","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,35
769,"Richert, Jana","A combined planning and self-efficacy intervention to promote physical
   activity: A multiple mediation analysis",2012,35
788,"Thompson, Carl","Translating research into practice in Leeds and Bradford (TRiPLaB): a
   protocol for a programme of research",2010,35
805,"Perz, Janette","Evaluating the efficacy of psycho-social interventions for informal
   carers of cancer patients: a systematic review of the research
   literature",2009,35
1143,"Spak, Fredrik","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,35
1158,"Parschau, Linda","A combined planning and self-efficacy intervention to promote physical
   activity: A multiple mediation analysis",2012,35
1189,"Hawkins, Yasmin","Evaluating the efficacy of psycho-social interventions for informal
   carers of cancer patients: a systematic review of the research
   literature",2009,35
1484,"Bendtsen,   Preben","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,35
1496,"Ernsting, Anna","A combined planning and self-efficacy intervention to promote physical
   activity: A multiple mediation analysis",2012,35
1523,"Brack,   Marita","Evaluating the efficacy of psycho-social interventions for informal
   carers of cancer patients: a systematic review of the research
   literature",2009,35
1774,"Chambers, Duncan","Immediate versus sustained effects: interrupted time series analysis of
   a tailored intervention",2013,35
1792,"Lippke, Sonia","A combined planning and self-efficacy intervention to promote physical
   activity: A multiple mediation analysis",2012,35
2606,"van Steenkiste, Ben","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,35
2775,"Wallace, Paul","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,35
2847,"Gual, Toni","Implementing training and support, financial reimbursement, and referral
   to an internet-based brief advice program to improve the early
   identification of hazardous and harmful alcohol consumption in primary
   care (ODHIN): study protocol for a cluster randomized factorial trial",2013,35
242,"Chinman, Matthew","Using Getting To Outcomes to facilitate the use of an evidence-based
   practice in VA homeless programs: a cluster-randomized trial of an
   implementation support strategy",2017,34
267,"Yano, Elizabeth M.","Cluster randomized trial of a multilevel evidence-based quality
   improvement approach to tailoring VA Patient Aligned Care Teams to the
   needs of women Veterans",2016,34
638,"Berkel, Cady","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
654,"McCarthy, Sharon","Using Getting To Outcomes to facilitate the use of an evidence-based
   practice in VA homeless programs: a cluster-randomized trial of an
   implementation support strategy",2017,34
678,"Darling, Jill E.","Cluster randomized trial of a multilevel evidence-based quality
   improvement approach to tailoring VA Patient Aligned Care Teams to the
   needs of women Veterans",2016,34
1038,"Jordan, Neil","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
1075,"Hamilton, Alison B.","Cluster randomized trial of a multilevel evidence-based quality
   improvement approach to tailoring VA Patient Aligned Care Teams to the
   needs of women Veterans",2016,34
1394,"Atkins, David C.","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
1427,"Canelo, Ismelda","Cluster randomized trial of a multilevel evidence-based quality
   improvement approach to tailoring VA Patient Aligned Care Teams to the
   needs of women Veterans",2016,34
1711,"Narayanan, Shrikanth S.","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
1970,"Gallo, Carlos","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
1989,"Meredith, Lisa S.","Cluster randomized trial of a multilevel evidence-based quality
   improvement approach to tailoring VA Patient Aligned Care Teams to the
   needs of women Veterans",2016,34
2184,"Grimm, Kevin J.","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
2350,"Dishion, Thomas J.","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
2480,"Mauricio, Anne M.","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
2584,"Rudo-Stern, Jenna","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
2662,"Meachum, Mariah K.","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
2720,"Winslow, Emily","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
2767,"Bruening, Meg M.","An individually tailored family-centered intervention for pediatric
   obesity in primary care: study protocol of a randomized type II hybrid
   effectiveness-implementation trial (Raising Healthy Children study)",2018,34
274,"Gray-Burrows, K. A.","Using intervention mapping to develop a home-based parental-supervised
   toothbrushing intervention for young children",2016,33
685,"Day, P. F.","Using intervention mapping to develop a home-based parental-supervised
   toothbrushing intervention for young children",2016,33
1082,"Marshman, Z.","Using intervention mapping to develop a home-based parental-supervised
   toothbrushing intervention for young children",2016,33
1181,"Brown, C. Hendricks","Study protocol for a group randomized controlled trial of a
   classroom-based intervention aimed at preventing early risk factors for
   drug abuse: integrating effectiveness and implementation research",2009,33
1434,"Aliakbari, E.","Using intervention mapping to develop a home-based parental-supervised
   toothbrushing intervention for young children",2016,33
1742,"Prady, S. L.","Using intervention mapping to develop a home-based parental-supervised
   toothbrushing intervention for young children",2016,33
1994,"McEachan, R. R. C.","Using intervention mapping to develop a home-based parental-supervised
   toothbrushing intervention for young children",2016,33
476,"Albers, Bianca","Translational framework for implementation evaluation and research: a
   normalisation process theory coding manual for qualitative research and
   instrument development",2022,32
1255,"Finch, Tracy L.","Translational framework for implementation evaluation and research: a
   normalisation process theory coding manual for qualitative research and
   instrument development",2022,32
1587,"Gilbert, Anthony","Translational framework for implementation evaluation and research: a
   normalisation process theory coding manual for qualitative research and
   instrument development",2022,32
2094,"Greenwood, Kathryn","Translational framework for implementation evaluation and research: a
   normalisation process theory coding manual for qualitative research and
   instrument development",2022,32
2630,"Murray,   Elizabeth","Translational framework for implementation evaluation and research: a
   normalisation process theory coding manual for qualitative research and
   instrument development",2022,32
192,"Willmott, Taylor","Reported theory use in electronic health weight management interventions
   targeting young adults: a systematic review",2019,31
473,"Shelton, Rachel C.",Revisiting concepts of evidence in implementation science,2022,31
605,"Pang, Bo","Reported theory use in electronic health weight management interventions
   targeting young adults: a systematic review",2019,31
704,"Dima, Alexandra L.","Assessing treatment-as-usual provided to control groups in adherence
   trials: Exploring the use of an open-ended questionnaire for identifying
   behaviour change techniques",2015,31
879,"Geng, Elvin H.",Revisiting concepts of evidence in implementation science,2022,31
1006,"Rundle-Thiele, Sharyn","Reported theory use in electronic health weight management interventions
   targeting young adults: a systematic review",2019,31
1253,"Glasgow,   Russell E.",Revisiting concepts of evidence in implementation science,2022,31
1367,"Badejo, Abi","Reported theory use in electronic health weight management interventions
   targeting young adults: a systematic review",2019,31
110,"Reeves, Penny","Economic evaluation of a web-based menu planning intervention to improve
   childcare service adherence with dietary guidelines",2021,29
